Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;31/01/2005;Mitsubishi Paper Mills Ltd;Chuetsu Pulp & Paper Co Ltd;;2365.05;Stock;11.65;Terminated;Friendly;JP3901200000;JP3513400006;0.0000;-21.5542;100.000000;0.000000;196528.000000
M&A;31/01/2005;Hills Motorway Group;Transurban Group;;1627.31;Cash and Stock;36.88;Completed;Hostile;AU000000HLY5;AU000000TCL6;0.0000;-31.3393;83.800003;16.200001;391.022003
M&A;31/01/2005;Yapi ve Kredi Bankasi AS;KOC Holding AS;;1539.36;Cash; ;Completed;Friendly;TRAYKBNK91N6;TRAKCHOL91Q8;0.0000;0;57.400002;0.000000;0.000000
M&A;31/01/2005;Creo Inc;Eastman Kodak Co;;702.36;Cash;19.70;Completed;Friendly;CA2256061029;US2774614067;0.0000;-8.94305;100.000000;0.000000;-86.970001
INV;31/01/2005;Daikyo Inc;ORIX Corp;;222.07;Cash;2.64;Completed;Friendly;JP3481400004;JP3200450009;0.0000;0;41.230000;2.750000;0.000000
M&A;31/01/2005;Access Anytime Bancorp Inc;First State Bancorporation/NM;;33.78;Stock; ;Completed;Friendly;US00431F1057;US3364531059;0.0000;-6.74954;100.000000;0.000000;0.000000
M&A;01/02/2005;GBA Holdings Ltd;CCT Fortis Holdings Ltd;;85.77;Cash;3.09;Completed;Friendly;N.A.;BMG1987Y1030;0.0000;-8.34914;47.790001;34.509998;493.799988
M&A;01/02/2005;Landsbanki Securities Holdings UK PLC;LBI ehf;;79.39;Cash;18.93;Completed;Friendly;GB0006482284;IS0000000156;0.0000;44.3696;100.000000;0.000000;0.000000
M&A;02/02/2005;Woori Investment & Securities Co Ltd/Old;NH Investment & Securities Co Ltd;Woori Finance Holdings Co Ltd;456.72;Stock; ;Completed;;KR7001280007;KR7005940002;0.0000;0;100.000000;0.000000;0.000000
M&A;02/02/2005;Argo Energy Ltd;Lightning Energy Ltd;;131.08;Stock; ;Completed;Friendly;CA04012R1082;CA53224U1021;0.0000;-0.253425;100.000000;0.000000;0.000000
INV;02/02/2005;Eco-Trade Corp;Corcyra;Koninklijke KPN NV;8.00;Cash; ;Completed;;US27887Q1031;N.A.;0.0000;;43.500000;0.000000;0.000000
